,problemId,title,tags,acceptedUserCount,averageTries,level
0,1000,A+B,"['arithmetic', 'math', 'implementation']",168115,2.3543,1
1,1001,A-B,"['arithmetic', 'math', 'implementation']",140639,1.3922,1
2,1002,터렛,"['geometry', 'math']",24743,4.6195,7
3,1003,피보나치 함수,['dp'],33462,3.2071,8
4,1004,어린 왕자,['geometry'],8248,2.3484,8
5,1005,ACM Craft,"['graphs', 'dp', 'topological_sorting']",7916,3.9737,13
6,1006,습격자 초라기,['dp'],1169,5.568,18
7,1007,벡터 매칭,"['bruteforcing', 'math']",1829,2.7583,14
8,1008,A/B,"['arithmetic', 'math', 'implementation']",106989,2.8921,2
9,1009,분산처리,"['math', 'implementation']",11642,4.0783,3
10,1010,다리 놓기,"['dp', 'combinatorics', 'math']",18250,2.0746,6
11,1011,Fly me to the Alpha Centauri,['math'],19080,3.2849,11
12,1012,유기농 배추,"['graph_traversal', 'graphs', 'bfs', 'dfs']",26477,2.7178,9
13,1013,Contact,"['string', 'regex']",2451,2.8315,11
14,1014,컨닝,"['dp_bitfield', 'dp', 'bitmask', 'flow']",1285,2.3043,17
15,1015,수열 정렬,['sorting'],3347,2.0681,7
16,1016,제곱 ㄴㄴ 수,"['sieve', 'primality_test', 'number_theory', 'math']",4923,4.9809,15
17,1017,소수 쌍,"['primality_test', 'bipartite_matching', 'number_theory', 'math', 'sieve']",1352,4.5074,18
18,1018,체스판 다시 칠하기,['bruteforcing'],23322,2.1294,6
19,1019,책 페이지,['math'],2478,2.5888,15
20,1020,디지털 카운터,['dp'],341,3.7742,19
21,1021,회전하는 큐,"['data_structures', 'deque']",11518,1.7524,7
22,1022,소용돌이 예쁘게 출력하기,['implementation'],2026,3.5015,12
23,1023,괄호 문자열,"['dp', 'combinatorics', 'math']",445,2.7753,18
24,1024,수열의 합,['math'],3120,3.9045,9
25,1025,제곱수 찾기,['bruteforcing'],715,3.3888,11
26,1026,보물,"['sorting', 'greedy', 'math']",18181,1.5338,7
27,1027,고층 건물,"['bruteforcing', 'geometry', 'math']",1391,2.7009,12
